Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion),Steps (average per min)
2018-03-11T05:00:00.000Z,6,149,8940,0.001053449996591856,0,0,1,0,0,0,0
2018-03-11T06:00:00.000Z,6,150,9000,0.026227449996319287,0,0.5,0.9,0.05,0.05,0,9.85
2018-03-11T07:00:00.000Z,6,151,9060,0.021761100091195355,0.7166666666666667,0.5,0.9333333333333332,0.06666666666666667,0,0,7.033333333333333
2018-03-11T08:00:00.000Z,6,152,9120,0.0041604833134139575,1,0,1,0,0,0,0
2018-03-11T09:00:00.000Z,6,153,9180,0.003871350005889932,1,1,1,0,0,0,0.15
2018-03-11T10:00:00.000Z,6,154,9240,0.0038583499961532654,0.6984126984126984,0.5,1,0,0,0,0
2018-03-11T11:00:00.000Z,6,155,9300,0.003818216659904768,0,0,1,0,0,0,0
2018-03-11T12:00:00.000Z,6,156,9360,0.033620266620224964,0,0.5,0.8833333333333333,0.06666666666666667,0.05,0,10.4
2018-03-11T13:00:00.000Z,6,157,9420,0.09033994988227884,0,1,0.6333333333333333,0.13333333333333333,0.2333333333333333,0,36.35
2018-03-11T14:00:00.000Z,6,158,9480,0.027138750026157742,0,1,0.9166666666666666,0.06666666666666667,0.016666666666666666,0,8.383333333333333
2018-03-11T15:00:00.000Z,6,159,9540,0.04571873313592126,0,1,0.8333333333333334,0.11666666666666668,0.05,0,15.3
2018-03-11T16:00:00.000Z,6,160,9600,0.039813866765083125,0,1,0.8666666666666667,0.03333333333333333,0.1,0,14.033333333333331
2018-03-11T17:00:00.000Z,6,161,9660,0.04284356691059656,0,1,0.8166666666666667,0.13333333333333333,0.05,0,12.3
2018-03-11T18:00:00.000Z,6,162,9720,0.04482486665559312,0,1,0.75,0.13333333333333333,0.11666666666666668,0,15.916666666666666
2018-03-11T19:00:00.000Z,6,163,9780,0.013481433311244472,0.45901639344262296,1,0.9833333333333332,0.016666666666666666,0,0,4.5
2018-03-11T20:00:00.000Z,6,164,9840,0.03572076685571422,0,1,0.9,0.05,0.05,0,12.266666666666667
2018-03-11T21:00:00.000Z,6,165,9900,0.010570283313669883,0,1,1,0,0,0,2.7666666666666666
2018-03-11T22:00:00.000Z,6,166,9960,0.018788550149959823,0,1,0.9666666666666668,0.016666666666666666,0.016666666666666666,0,4.283333333333333
2018-03-11T23:00:00.000Z,6,167,10020,0.012864133257729312,0.7333333333333333,0.5,0.9666666666666668,0.03333333333333333,0,0,2.6333333333333333
