hourinweek,Female Mean Activity (g),Male Mean Activity (g),Female Asleep (proportion),Male Asleep (proportion),Female Steps (average per min),Male Steps (average per min),Female Sedentary Activity (proportion),Male Sedentary Activity (proportion),Female Light Activity (proportion),Male Light Activity (proportion),Female Moderate Activity (proportion),Male Moderate Activity (proportion),Female Vigorous Activity (proportion),Male Vigorous Activity (proportion)
78,0.022740107137727183,0.01694961546159241,0.4231103628515144,0.4714776146832911,6.69918936446174,4.824835309617918,0.8989623865110243,0.933860342555994,0.035992217898832696,0.02187088274044796,0.06316472114137488,0.04328063241106723,0.0018806744487678332,0.0009881422924901183
79,0.04052926108736125,0.03408757806183867,0.3078235311393315,0.3432802619970277,13.619422827496756,10.876877470355732,0.8245136186770426,0.87167325428195,0.04646562905317767,0.02865612648221344,0.12636186770428023,0.09598155467720684,0.0026588845654993507,0.003689064558629777
80,0.04531662785544109,0.04014799930600125,0.22385467931615688,0.2780938657938563,15.597504569898597,12.62463768115942,0.8101720380357146,0.8503293807641633,0.04878034905681845,0.0362977602108037,0.13770501336205482,0.10942028985507242,0.003342599545412024,0.003952569169960476
81,0.05660456706718632,0.05640144374573057,0.17082544071395478,0.217592345119446,20.126900521340964,18.32411067193676,0.770753583752872,0.7894598155467721,0.05120983038917053,0.04176548089591568,0.1754369237053265,0.16231884057971013,0.002599662152630752,0.006455862977602108
82,0.04305866481979435,0.04275451561219517,0.17419641398393013,0.20901899937580232,14.52992866407263,13.4637908496732,0.8394617380025937,0.8513725490196075,0.0474383916990921,0.03869281045751634,0.11170557717250316,0.1054901960784313,0.0013942931258106351,0.004444444444444441
83,0.044314943258975066,0.048389761139241136,0.16761980131886028,0.16882157426247937,15.166667553299286,15.540250115794356,0.8380455323848897,0.8275932787813289,0.04689855909533074,0.04295018269775099,0.11391911883916991,0.1256600277906438,0.001136789680609598,0.0037965107302763614
84,0.05252272767008423,0.05357390564603947,0.14775677384136962,0.1401616909494026,18.220168522071965,17.026377952755904,0.7952960653224496,0.8050524934383204,0.05316618187540612,0.04868766404199471,0.14926329495614038,0.14337270341207337,0.0022744578460038986,0.002887139107611548
85,0.0536152414459246,0.05513993280782382,0.13722188973285296,0.1481417828384485,18.86936322287199,18.752556451276924,0.7862132868880508,0.7871620214139897,0.05323290694410802,0.04916729158855139,0.15814810970006646,0.16176571678540172,0.0024056964677747405,0.001904970212056826
86,0.044942794295190186,0.04298745034126939,0.1859396105691392,0.2009329133860165,15.588256113256111,13.411764705882351,0.8331402831402829,0.8542483660130713,0.0486164736164736,0.04542483660130715,0.1157979407979408,0.0973856209150327,0.002445302445302444,0.002941176470588235
87,0.05229206276574491,0.05553619159426471,0.1842170279239895,0.18150370073184832,18.75862290862291,18.180457516339864,0.7942406692406695,0.7963398692810456,0.05643500643500644,0.05000000000000002,0.146042471042471,0.14692810457516348,0.00328185328185328,0.00673202614379085
88,0.05235977625687164,0.06069602802420058,0.1857787678679626,0.18614888494599807,18.67812097812098,18.731307189542484,0.780019305019305,0.7807189542483658,0.06673101673101677,0.053267973856209135,0.15122265122265127,0.15575163398692815,0.002027027027027027,0.010261437908496726
89,0.05387374405525822,0.05823161289898526,0.20993915146939715,0.18237373676264423,17.928507078507085,17.887124183006538,0.7731660231660231,0.7702614379084967,0.06611969111969114,0.05784313725490193,0.15598455598455602,0.16143790849673206,0.004729729729729729,0.010457516339869272
90,0.047197893306251085,0.05045319250607426,0.2130864162725293,0.1828361689897061,14.975450450450449,14.822941176470586,0.8074324324324321,0.8073202614379084,0.06631274131274133,0.05758169934640521,0.121975546975547,0.12555555555555553,0.004279279279279276,0.009542483660130717
91,0.03990054236786288,0.04556997854975485,0.21593828995265332,0.20328935244105703,12.484903499797118,12.7262091503268,0.8407515763898742,0.8320261437908495,0.061935505552526825,0.0603267973856209,0.09502506789740832,0.0981699346405228,0.002287850160190586,0.009477124183006532
92,0.03749842622093934,0.04593887941188956,0.2217286513394949,0.2185019358019444,11.31595744680851,12.63124183006536,0.8578981302385557,0.8323529411764704,0.053191489361702135,0.05346405228758166,0.08613797549967764,0.10379084967320253,0.002772404900064474,0.010392156862745094
93,0.033213071261261544,0.03289695847040928,0.23643766216741605,0.2263553973330644,9.817698259187624,9.552091503267976,0.8744358478401033,0.8825490196078428,0.0491618310767247,0.0456209150326797,0.07450032237266278,0.0705882352941176,0.00190199871050935,0.0012418300653594771
94,0.028444291384364263,0.030447325469694423,0.2676950190026312,0.26992016642239774,8.260600625253021,8.322745098039217,0.8960346912969378,0.8980392156862742,0.041121569480055416,0.03764705882352941,0.06110049030632907,0.06294117647058822,0.0017432489166779132,0.0013725490196078432
95,0.02030380962779395,0.02386081012036976,0.3601394796525632,0.3256198211402385,5.756363049095608,6.373594771241828,0.929941860465116,0.9215686274509796,0.028811369509043956,0.02934640522875816,0.040148578811369545,0.04790849673202611,0.0010981912144702847,0.001176470588235294
96,0.01343533743612465,0.014620709262215006,0.4521393016770877,0.4159109642554546,3.507078409974662,3.6836601307189545,0.957233448734352,0.957450980392156,0.018831690123178056,0.016601307189542475,0.02345036501843909,0.02588235294117646,0.00048449612403100775,0.000065359477124183
97,0.0074011964272063056,0.010034875150727792,0.5393762390271194,0.5128052909024647,1.6089320388349515,2.199934640522877,0.9831715210355986,0.977124183006536,0.007249190938511325,0.008366013071895422,0.009546925566343043,0.013790849673202607,0.000032362459546925564,0.000718954248366013
98,0.005098642398970074,0.006421446024993535,0.576425977691,0.5526691055365982,0.9014886731391588,1.1932679738562093,0.9921682847896446,0.9890849673202616,0.003495145631067964,0.004117647058823529,0.004304207119741101,0.006797385620915029,0.000032362459546925564,0
99,0.00428636110632111,0.004520942478059819,0.5803152551938489,0.5607468806608374,0.6164180297936105,0.6120261437908497,0.995725510936496,0.995098039215687,0.0022995605253547896,0.002156862745098039,0.001974928538148665,0.002745098039215684,0,0
100,0.004065547306269043,0.003901833695189038,0.5716015128970188,0.5905533840188034,0.5521076523994816,0.4314379084967319,0.9960440985732812,0.998366013071896,0.001977950713359274,0.001045751633986928,0.0019779507133592727,0.000588235294117647,0,0
101,0.006066475231577216,0.005270331225077907,0.5281088863976077,0.5637319902997321,1.2242542153047988,0.8226797385620915,0.985570687418936,0.9921568627450984,0.006063553826199741,0.0037254901960784297,0.008365758754863815,0.004052287581699346,0,0.000065359477124183
102,0.014778206173653248,0.01182520181949167,0.46376267621617584,0.5223278028023984,4.141958495460442,2.9809803921568627,0.9412775616083006,0.9602614379084964,0.018093385214007784,0.013071895424836602,0.03972114137483789,0.0254248366013072,0.0009079118028534372,0.0012418300653594771
103,0.032532562750021816,0.02742684128090516,0.35853608401892706,0.39389733435086577,10.245784695201037,8.059934640522872,0.861770428015564,0.8968627450980389,0.0390402075226978,0.02562091503267973,0.0969844357976654,0.07509803921568627,0.002204928664072632,0.002418300653594771
